Year	DoY	Hour	NEE	PAR	T10
-	-	-	umolm-2s-1	umolm-2s-1	degC
2021	4	17	0.0110233	0.065	0.943
2021	4	17.5	0.2085743	0.049	0.941
2021	4	18	0.1177169	0.047	0.942
2021	4	18.5	0.10801024	0.068	0.939
2021	4	19	0.134599	0.033	0.939
2021	4	19.5	0.13320705	0.022	0.937
2021	4	20	0.12492607	0.037	0.937
2021	4	20.5	0.11933006	0.046	0.936
2021	4	21	0.12969795	0.045	0.936
2021	4	21.5	0.0655715	0.032	0.936
2021	4	22	0.15673988	0.044	0.934
2021	4	22.5	0.12124558	0.046	0.934
2021	4	23	0.11489039	0.043	0.934
2021	4	23.5	0.12163437	0.051	0.934
2021	5	0	0.15758298	0.035	0.929
2021	5	0.5	0.17220959	0.047	0.931
2021	5	1	0.12059199	0.037	0.93
2021	5	1.5	0.11440895	0.039	0.93
2021	5	2	0.11364143	0.037	0.932
2021	5	2.5	0.13318111	0.032	0.93
2021	5	3	0.1255088	0.034	0.926
2021	5	3.5	0.15515888	0.034	0.928
2021	5	4	0.13755277	0.042	0.925
2021	5	4.5	0.17383201	0.034	0.928
2021	5	5	0.1982619	0.036	0.928
2021	5	5.5	0.08088784	0.043	0.928
2021	5	6	0.26232851	0.039	0.927
2021	5	6.5	0.373027	0.037	0.927
2021	5	7	0.10434664	0.036	0.937
2021	5	7.5	0.172234	0.043	0.925
2021	5	8	0.23450036	0.041	0.923
2021	5	8.5	0.31254533	0.115	0.926
2021	5	9	0.28390676	0.975	0.926
2021	5	9.5	0.22106405	4.878	0.925
2021	5	10	0.17247155	12.57	0.926
2021	5	10.5	0.24329919	21.7	0.926
2021	5	11	0.27909678	50.82	0.925
2021	5	11.5	0.06462504	81.2	0.924
2021	5	12	0.16606392	71.1	0.927
2021	5	12.5	0.19971868	56.86	0.924
2021	5	13	0.13675474	71.41	0.923
2021	5	13.5	0.23770578	49.3	0.922
2021	5	14	0.13694368	20.45	0.943
2021	5	14.5	0.25936142	6.758	0.945
2021	5	15	0.3156592	1.963	0.904
2021	5	15.5	0.28260857	0.28	0.901
2021	5	16	0.24412543	0.063	0.921
2021	5	16.5	0.27125806	0.057	0.924
2021	5	17	0.12860759	0.063	0.925
2021	5	17.5	-0.03019081	0.041	0.924
2021	5	18	0.13539429	0.036	0.925
2021	5	18.5	0.13782957	0.025	0.926
2021	5	19	0.12121828	0.027	0.925
2021	5	19.5	0.17359184	0.032	0.924
2021	5	20	0.17816213	0.055	0.925
2021	5	20.5	0.13094722	0.093	0.924
2021	5	21	0.11796693	0.028	0.925
2021	5	21.5	0.1827057	0.027	0.924
2021	5	22	0.11253697	0.042	0.926
2021	5	22.5	0.23752587	0.051	0.925
2021	5	23	0.11234721	0.078	0.925
2021	5	23.5	0.14053828	0.044	0.93
2021	6	0	0.22497423	0.055	0.929
2021	6	0.5	0.23171654	0.061	0.925
2021	6	1	0.23305798	0.05	0.924
2021	6	1.5	0.1177891	0.076	0.929
2021	6	2	0.12515992	0.063	0.928
2021	6	2.5	0.13256988	0.026	0.93
2021	6	3	0.13204153	0.037	0.926
2021	6	3.5	0.13688858	0.048	0.928
2021	6	4	0.14841187	0.047	0.929
2021	6	4.5	0.12102022	0.027	0.934
2021	6	5	0.14519638	0.025	0.931
2021	6	5.5	0.13021599	0.029	0.931
2021	6	6	0.1456501	0.034	0.929
2021	6	6.5	0.14648284	0.146	0.934
2021	6	7	0.13123152	0.114	0.933
2021	6	7.5	0.13358305	0.113	0.932
