site,date,tair,tsoil_10cm,WTD,PARin
SE-Hmr,2021-06-14,11.540354166666667,13.744791666666666,-7.95729166666667,306.9223125
SE-Hmr,2021-06-15,11.031854166666667,13.889270833333333,-3.990625,482.7049583333333
SE-Hmr,2021-06-16,8.489583333333334,12.763854166666667,-5.2078125,440.07666666666665
SE-Hmr,2021-06-17,13.349083333333333,13.916875,-5.770114751800186,567.4836458333333
SE-Hmr,2021-06-18,12.9,14.4584375,-5.85546591198029,170.02347916666668
SE-Hmr,2021-06-19,10.490291666666666,13.753229166666667,-5.914728934797743,295.3370208333333
SE-Hmr,2021-06-20,10.432395833333333,13.3034375,-3.9542574750349977,194.08608333333333
SE-Hmr,2021-06-21,13.596041666666666,13.902083333333334,-2.847482878766557,194.68916666666667
SE-Hmr,2021-06-22,13.329583333333334,14.851875,-2.607291666666667,198.21233333333333
SE-Hmr,2021-06-23,14.249583333333334,15.093333333333334,-3.28125,401.27791666666667
SE-Hmr,2021-06-24,17.513958333333335,17.118541666666665,-4.265625,574.6405
SE-Hmr,2021-06-25,17.545416666666668,18.74822916666667,-5.167708333333334,603.0346666666667
SE-Hmr,2021-06-26,15.131875,18.406145833333333,-6.069791666666668,494.90760416666666
SE-Hmr,2021-06-27,13.91875,17.50177083333333,-6.82187500000001,430.7716458333333
SE-Hmr,2021-06-28,14.917395833333334,17.028020833333333,-7.642708333333343,693.9713958333333
SE-Hmr,2021-06-29,14.334166666666667,17.243541666666665,-8.58125000000001,514.4888958333333
SE-Hmr,2021-06-30,13.767520833333334,16.8440625,-9.185416666666676,454.14441666666664
SE-Hmr,2021-07-01,16.5614375,16.8315625,-9.719791666666673,698.0923541666666
SE-Hmr,2021-07-02,21.793541666666666,17.997083333333332,-10.769791666666666,695.1629791666667
SE-Hmr,2021-07-03,24.0125,19.206770833333334,-11.934375,688.4466458333334
SE-Hmr,2021-07-04,22.451458333333335,19.512395833333333,-13.1375,665.916125
SE-Hmr,2021-07-05,21.2925,19.287395833333335,-14.314583333333333,673.9015416666666
SE-Hmr,2021-07-06,20.61875,18.9725,-15.2375,443.6576875
SE-Hmr,2021-07-07,19.186875,19.130729166666665,-15.917708333333334,413.95160416666664
